"","Plot","sum_AGB05","sum_AGB09"
"1",1,37177.0115730087,40777.6095598536
"315",2,48210.8242412109,52816.7920609133
"620",3,44025.0392273565,48581.065268846
"1055",4,61736.0793643953,65376.9950915254
"1589",5,70773.3538931755,78806.0326709115
"2057",6,68482.006449184,74490.1972471374
"2547",7,88260.0548084613,96718.6801174306
"2910",8,64078.9693503746,68494.1584162116
"3333",9,74360.127126813,78699.2814942823
"3738",10,49314.1070386118,54514.6138374945
"4092",11,73131.1311389274,80297.3763339401
"4565",12,64845.6840370965,71772.2796317167
"4961",13,72431.8955817402,81305.0906438781
"5470",14,78995.4296098986,88093.3311668733
"5880",15,86316.948796906,96468.1337499399
"6319",16,73892.069092292,83298.8314362372
"6716",17,59114.1925771517,64122.0867138657
"7204",18,42848.6142546213,46881.0446534038
"7712",19,62498.9678830874,66389.454453804
"8100",20,70976.1961866687,77575.1909146344
"8472",21,109011.677923576,115041.815883849
"8895",22,131984.066346784,139340.353070464
"9282",23,105675.50895317,111691.540574299
"9669",24,85568.0187698344,89887.8753083472
"10030",25,76014.0156653538,80192.188084961
"10399",26,70934.7595821235,75285.5093080895
"10897",27,94912.5057402311,99662.4728114261
"11241",28,113575.780513073,119743.689200876
"11720",29,73353.3696500849,77763.6307394387
"12123",30,94390.2286905166,99035.7456199271
